cohort,level,variable,label_3class,label_3class_name,total_n,n,missing_or_invalid_n,unique_n,min,p1,p5,p25,median,p75,p95,p99,max,mean,std,iqr,mad,mode,mode_proportion
all_exif_522,image,ExposureTime,0.0,normal,115,115,0,7,0.009036,0.010002,0.0100027,0.020004,0.020004,0.030006,0.040008,0.040008,0.050009,0.023474591304347835,0.007857436900624288,0.010002,0.0,0.020004,0.5478260869565217
all_exif_522,image,FNumber,0.0,normal,115,115,0,1,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,5.35239260126032e-15,0.0,0.0,1.89,1.0
all_exif_522,image,ISOSpeedRatings,0.0,normal,115,115,0,92,50.0,57.7,73.4,128.0,176.0,235.0,456.0,602.28,1115.0,207.36521739130436,137.51620832282796,107.0,55.0,128.0,0.02608695652173913
all_exif_522,image,BrightnessValue,0.0,normal,115,115,0,46,4.3,5.014,5.61,6.85,7.7,8.350000000000001,9.559999999999999,10.486,10.8,7.58086956521739,1.2344396876666965,1.5000000000000018,0.7999999999999998,7.2,0.05217391304347826
all_exif_522,image,log2_exposure_time,0.0,normal,115,115,0,7,-6.79010001393109,-6.643567679616601,-6.643466716204508,-5.643567679616601,-5.643567679616601,-5.058605178895445,-4.643567679616601,-4.643567679616601,-4.321668433148858,-5.496655609160431,0.5089397722419061,0.5849625007211561,0.0,-5.643567679616601,0.5478260869565217
all_exif_522,image,log2_iso_gain,0.0,normal,115,115,0,92,-1.0,-0.7939832941388845,-0.44626133340176616,0.35614381022527536,0.8155754288625726,1.2326476946978981,2.189033824390017,2.5844495122764806,3.4789718050329426,0.8290493715852636,0.7814535503138975,0.8765038844726227,0.42931163026096175,0.35614381022527536,0.02608695652173913
all_exif_522,image,log2_fnumber,0.0,normal,115,115,0,1,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.918386234446348,2.0071472254726204e-15,0.0,0.0,0.9183862344463479,1.0
all_exif_522,image,aperture_value_from_f,0.0,normal,115,115,0,1,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.836772468892696,4.014294450945241e-15,0.0,0.0,1.8367724688926959,1.0
all_exif_522,image,time_value_from_t,0.0,normal,115,115,0,7,4.321668433148858,4.643567679616601,4.643567679616601,5.058605178895445,5.643567679616601,5.643567679616601,6.643466716204508,6.643567679616601,6.79010001393109,5.496655609160431,0.5089397722419061,0.5849625007211561,0.0,5.643567679616601,0.5478260869565217
all_exif_522,image,EV100,0.0,normal,115,115,0,7,6.158440902041554,6.480340148509297,6.480340148509297,6.895377647788141,7.480340148509297,7.480340148509297,8.480239185097204,8.480340148509297,8.626872482823785,7.333428078053127,0.5089397722419058,0.5849625007211561,0.0,7.480340148509297,0.5478260869565217
all_exif_522,image,relative_optical_exposure,0.0,normal,115,115,0,7,-8.626872482823785,-8.480340148509297,-8.480239185097204,-7.480340148509297,-7.480340148509297,-6.895377647788141,-6.480340148509297,-6.480340148509297,-6.158440902041554,-7.333428078053127,0.5089397722419058,0.5849625007211561,0.0,-7.480340148509297,0.5478260869565217
all_exif_522,image,combined_exposure_gain,0.0,normal,115,115,0,100,-9.626872482823785,-9.274179209202334,-8.530638048028909,-7.223342158825791,-6.539233837562866,-5.797782602655216,-4.3136247035428745,-3.899321331124028,-2.6794690970086115,-6.504378706467864,1.2179704923981838,1.4255595561705752,0.7023194513593154,-7.124196338284022,0.02608695652173913
all_exif_522,image,sensitivity_value,0.0,normal,115,115,0,92,4.0,4.206016705861115,4.553738666598234,5.356143810225276,5.815575428862573,6.2326476946978975,7.189033824390017,7.58444951227648,8.478971805032943,5.829049371585264,0.7814535503138976,0.8765038844726218,0.42931163026096186,5.356143810225276,0.02608695652173913
all_exif_522,image,brightness_apex_pred,0.0,normal,115,115,0,100,-2.320530902991389,-1.100678668875972,-0.6863752964571246,0.797782602655217,1.5392338375628656,2.2233421588257913,3.5306380480289095,4.274179209202334,4.626872482823785,1.5043787064678642,1.2179704923981838,1.4255595561705743,0.7023194513593154,2.1241963382840217,0.02608695652173913
all_exif_522,image,brightness_residual,0.0,normal,115,115,0,109,3.3977317566033403,3.6690666098324773,5.666012338019981,6.022709936172376,6.170157098574836,6.312306338313598,6.467872155273332,6.63950190049215,6.6552837612214235,6.076490858749527,0.5269052863393727,0.28959640214122206,0.14744716240246003,6.004622352211859,0.017391304347826087
all_exif_522,image,device_centered_brightness,0.0,normal,115,115,0,46,-1.823529411764705,-1.4035294117647052,-1.0529411764705876,-0.32352941176470584,0.1764705882352939,0.5588235294117645,1.2705882352941162,1.8152941176470574,1.999999999999999,0.10639386189258285,0.7261409927451152,0.8823529411764703,0.4705882352941172,-0.11764705882352944,0.05217391304347826
all_exif_522,image,ExposureTime,1.0,mild,259,259,0,30,0.0035714285714285713,0.004137123745819398,0.006625000000000001,0.01,0.02,0.030006,0.04,0.040008,0.050009,0.019844500772116375,0.009726249626115248,0.020006000000000003,0.01,0.01,0.24324324324324326
all_exif_522,image,FNumber,1.0,mild,259,259,0,3,1.89,1.89,1.89,1.89,1.9,1.9,1.9,2.0,2.0,1.901003861003861,0.021398670187889324,0.010000000000000009,0.0,1.9,0.6332046332046332
all_exif_522,image,ISOSpeedRatings,1.0,mild,259,259,0,95,50.0,50.0,80.0,168.5,254.0,400.0,883.8999999999993,1250.0,1250.0,347.74517374517376,259.98548842528345,231.5,129.0,400.0,0.10424710424710425
all_exif_522,image,BrightnessValue,1.0,mild,259,259,0,197,-2.67,-2.2966,-1.565,-0.275,1.52,6.4,8.8,10.141999999999998,10.9,2.693629343629344,3.527703421203775,6.675000000000001,2.24,6.6,0.023166023166023165
all_exif_522,image,log2_exposure_time,1.0,mild,259,259,0,30,-8.129283016944967,-7.9197787110196884,-7.2381296309350285,-6.643856189774724,-5.643856189774724,-5.058605178895445,-4.643856189774724,-4.643567679616601,-4.321668433148858,-5.8536798040917235,0.8003780703479407,1.5852510108792792,0.5852510108792792,-6.643856189774724,0.24324324324324326
all_exif_522,image,log2_iso_gain,1.0,mild,259,259,0,95,-1.0,-1.0,-0.3219280948873623,0.7527422397557475,1.3448284969974411,2.0,3.142598256430461,3.643856189774725,3.643856189774725,1.439379990604405,1.0383853445710587,1.2472577602442525,0.6551715030025589,2.0,0.10424710424710425
all_exif_522,image,log2_fnumber,1.0,mild,259,259,0,3,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.925999418556223,0.925999418556223,0.925999418556223,1.0,1.0,0.9266731596012117,0.01587109746633124,0.007613184109875104,0.0,0.925999418556223,0.6332046332046332
all_exif_522,image,aperture_value_from_f,1.0,mild,259,259,0,3,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.851998837112446,1.851998837112446,1.851998837112446,2.0,2.0,1.8533463192024233,0.03174219493266248,0.015226368219750208,0.0,1.851998837112446,0.6332046332046332
all_exif_522,image,time_value_from_t,1.0,mild,259,259,0,30,4.321668433148858,4.643567679616601,4.643856189774724,5.058605178895445,5.643856189774724,6.643856189774724,7.2381296309350285,7.919778711019686,8.129283016944967,5.8536798040917235,0.8003780703479407,1.5852510108792792,0.5852510108792792,6.643856189774724,0.24324324324324326
all_exif_522,image,EV100,1.0,mild,259,259,0,32,6.158440902041554,6.480340148509297,6.643856189774724,6.8963929564708994,7.49585502688717,8.49585502688717,9.090128468047475,9.771777548132132,9.981281854057414,7.707026123294147,0.79639371121019,1.599462070416271,0.6004773790990292,8.49585502688717,0.24324324324324326
all_exif_522,image,relative_optical_exposure,1.0,mild,259,259,0,32,-9.981281854057414,-9.771777548132134,-9.090128468047475,-8.49585502688717,-7.49585502688717,-6.8963929564708994,-6.643856189774724,-6.480340148509297,-6.158440902041554,-7.707026123294147,0.79639371121019,1.599462070416271,0.6004773790990292,-8.49585502688717,0.24324324324324326
all_exif_522,image,combined_exposure_gain,1.0,mild,259,259,0,135,-9.758889432720965,-9.525418544601557,-8.880352739722625,-7.226316609669727,-6.173926931999808,-5.2678388067854165,-4.027225450747251,-3.313512551229786,-2.7228123079894635,-6.267646132689743,1.460194529209284,1.9584778028843104,1.0,-5.49585502688717,0.06563706563706563
all_exif_522,image,sensitivity_value,1.0,mild,259,259,0,95,4.0,4.0,4.678071905112637,5.752742239755747,6.344828496997441,7.0,8.14259825643046,8.643856189774725,8.643856189774725,6.4393799906044045,1.038385344571059,1.2472577602442527,0.6551715030025589,7.0,0.10424710424710425
all_exif_522,image,brightness_apex_pred,1.0,mild,259,259,0,135,-2.2771876920105365,-1.6864874487702153,-0.9727745492527499,0.26783880678541605,1.1739269319998078,2.2263166096697273,3.8803527397226247,4.525418544601557,4.758889432720965,1.2676461326897426,1.4601945292092844,1.9584778028843113,1.0,0.4958550268871704,0.06563706563706563
all_exif_522,image,brightness_residual,1.0,mild,259,259,0,219,-1.527783121774533,-1.3347929564708996,-1.057783121774533,-0.9377831217745326,-0.8058550268871705,6.0488399264483865,6.351696209057368,6.571665815917056,6.908693675880719,1.4259832109396011,3.3257298440630136,6.986623048222919,0.1919280948873625,-0.8939269319998078,0.019305019305019305
all_exif_522,image,device_centered_brightness,1.0,mild,259,259,0,197,-2.1176470588235285,-1.4858064516129035,-1.1586608837083219,-0.5365952832746002,-0.09216589861751155,0.45622119815668205,1.228110599078341,1.7764326375711565,2.2442396313364052,-0.04387561476203391,0.7582945000459643,0.9928164814312822,0.5039306044998638,-0.47058823529411775,0.023166023166023165
all_exif_522,image,ExposureTime,2.0,severe,148,148,0,20,0.0022222222222222222,0.0031726829268292683,0.007335164835164836,0.01,0.02,0.020004,0.030303030303030304,0.040008,0.040008,0.017787168108612854,0.008348455884976427,0.010004,0.01,0.01,0.3108108108108108
all_exif_522,image,FNumber,2.0,severe,148,148,0,3,1.89,1.89,1.89,1.89,1.9,1.9,1.9,1.9,2.0,1.8979729729729733,0.009544700382255066,0.010000000000000009,0.0,1.9,0.722972972972973
all_exif_522,image,ISOSpeedRatings,2.0,severe,148,148,0,53,50.0,50.0,67.85000000000001,178.25,250.0,400.0,800.0,1000.0,1600.0,336.0810810810811,249.08850197572428,221.75,120.0,320.0,0.12162162162162163
all_exif_522,image,BrightnessValue,2.0,severe,148,148,0,124,-2.35,-1.9513,-1.4689999999999999,-0.0325,1.365,5.75,8.395000000000001,9.306000000000001,9.8,2.4824324324324323,3.28292813998027,5.7825,2.045,7.2,0.04054054054054054
all_exif_522,image,log2_exposure_time,2.0,severe,148,148,0,20,-8.813781191217037,-8.344043066529068,-7.0918626955741875,-6.643856189774724,-5.643856189774724,-5.643567679616601,-5.044394119358453,-4.643567679616601,-4.643567679616601,-5.993463143583337,0.7681848880566365,1.0002885101581231,0.5852510108792792,-6.643856189774724,0.3108108108108108
all_exif_522,image,log2_iso_gain,2.0,severe,148,148,0,53,-1.0,-1.0,-0.5637696481011663,0.8333759595721049,1.3219280948873624,2.0,3.0,3.321928094887362,4.0,1.3826018990545565,1.0618211355421496,1.1666240404278951,0.6438561897747247,1.6780719051126378,0.12162162162162163
all_exif_522,image,log2_fnumber,2.0,severe,148,148,0,3,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.925999418556223,0.925999418556223,0.925999418556223,0.925999418556223,1.0,0.9244418051579039,0.007112046568574446,0.007613184109875104,0.0,0.925999418556223,0.722972972972973
all_exif_522,image,aperture_value_from_f,2.0,severe,148,148,0,3,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.851998837112446,1.851998837112446,1.851998837112446,1.851998837112446,2.0,1.8488836103158077,0.014224093137148891,0.015226368219750208,0.0,1.851998837112446,0.722972972972973
all_exif_522,image,time_value_from_t,2.0,severe,148,148,0,20,4.643567679616601,4.643567679616601,5.044394119358453,5.643567679616601,5.643856189774724,6.643856189774724,7.0918626955741875,8.344043066529068,8.813781191217037,5.993463143583337,0.7681848880566365,1.0002885101581231,0.5852510108792792,6.643856189774724,0.3108108108108108
all_exif_522,image,EV100,2.0,severe,148,148,0,21,6.480340148509297,6.480340148509297,6.895377647788141,7.480340148509297,7.49585502688717,8.49585502688717,8.943861532686633,10.196041903641513,10.665780028329483,7.842346753899146,0.7711595786086097,1.0155148783778731,0.6004773790990292,8.49585502688717,0.3108108108108108
all_exif_522,image,relative_optical_exposure,2.0,severe,148,148,0,21,-10.665780028329483,-10.196041903641513,-8.943861532686633,-8.49585502688717,-7.49585502688717,-7.480340148509297,-6.895377647788141,-6.480340148509297,-6.480340148509297,-7.842346753899146,0.7711595786086097,1.0155148783778731,0.6004773790990292,-8.49585502688717,0.3108108108108108
all_exif_522,image,combined_exposure_gain,2.0,severe,148,148,0,73,-10.261389773250148,-10.149337526589159,-9.139711216661896,-7.49585502688717,-6.49585502688717,-5.380704662207283,-4.218321051358261,-3.77798685956072,-3.5744648615835373,-6.459744854844589,1.4674724925784062,2.115150364679887,1.0,-6.49585502688717,0.08783783783783784
all_exif_522,image,sensitivity_value,2.0,severe,148,148,0,53,4.0,4.0,4.436230351898834,5.833375959572105,6.321928094887363,7.0,8.0,8.321928094887362,9.0,6.382601899054556,1.0618211355421503,1.1666240404278954,0.6438561897747253,6.678071905112637,0.12162162162162163
all_exif_522,image,brightness_apex_pred,2.0,severe,148,148,0,73,-1.4255351384164623,-1.2220131404392798,-0.7816789486417379,0.3807046622072836,1.4958550268871704,2.4958550268871704,4.139711216661895,5.149337526589159,5.261389773250148,1.4597448548445888,1.4674724925784062,2.115150364679887,1.0,1.4958550268871704,0.08783783783783784
all_exif_522,image,brightness_residual,2.0,severe,148,148,0,126,-1.3508175276083265,-1.1824550268871705,-1.0317679157417194,-0.9418940878139239,-0.8158550268871705,5.760688961590204,6.230969986201128,6.441060559913223,6.485194597853679,1.022687577587844,3.0947403172183603,6.702583049404128,0.14500000000000002,-0.9839269319998079,0.02702702702702703
all_exif_522,image,device_centered_brightness,2.0,severe,148,148,0,123,-1.4117647058823524,-1.276036866359447,-1.0419354838709676,-0.5306993765248034,0.0023041474654377646,0.45622119815668205,1.3663594470046085,1.678571428571429,1.8755760368663597,0.029697493644362673,0.7216451016257913,0.9869205746814854,0.47262130658715107,-0.11764705882352944,0.04054054054054054
all_exif_522,patient_group_median,ExposureTime,0.0,normal,115,115,0,7,0.009036,0.010002,0.0100027,0.020004,0.020004,0.030006,0.040008,0.040008,0.050009,0.023474591304347828,0.007857436900624288,0.010002,0.0,0.020004,0.5478260869565217
all_exif_522,patient_group_median,FNumber,0.0,normal,115,115,0,1,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,5.35239260126032e-15,0.0,0.0,1.89,1.0
all_exif_522,patient_group_median,ISOSpeedRatings,0.0,normal,115,115,0,92,50.0,57.7,73.4,128.0,176.0,235.0,456.0,602.28,1115.0,207.36521739130436,137.51620832282796,107.0,55.0,128.0,0.02608695652173913
all_exif_522,patient_group_median,BrightnessValue,0.0,normal,115,115,0,46,4.3,5.014,5.61,6.85,7.7,8.350000000000001,9.559999999999999,10.486,10.8,7.580869565217393,1.2344396876666968,1.5000000000000018,0.7999999999999998,7.2,0.05217391304347826
all_exif_522,patient_group_median,log2_exposure_time,0.0,normal,115,115,0,7,-6.79010001393109,-6.643567679616601,-6.643466716204508,-5.643567679616601,-5.643567679616601,-5.058605178895445,-4.643567679616601,-4.643567679616601,-4.321668433148858,-5.49665560916043,0.5089397722419061,0.5849625007211561,0.0,-5.643567679616601,0.5478260869565217
all_exif_522,patient_group_median,log2_iso_gain,0.0,normal,115,115,0,92,-1.0,-0.7939832941388845,-0.44626133340176616,0.35614381022527536,0.8155754288625726,1.2326476946978981,2.189033824390017,2.5844495122764806,3.4789718050329426,0.8290493715852637,0.7814535503138974,0.8765038844726227,0.42931163026096175,0.35614381022527536,0.02608695652173913
all_exif_522,patient_group_median,log2_fnumber,0.0,normal,115,115,0,1,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.918386234446348,2.0071472254726204e-15,0.0,0.0,0.9183862344463479,1.0
all_exif_522,patient_group_median,aperture_value_from_f,0.0,normal,115,115,0,1,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.836772468892696,4.014294450945241e-15,0.0,0.0,1.8367724688926959,1.0
all_exif_522,patient_group_median,time_value_from_t,0.0,normal,115,115,0,7,4.321668433148858,4.643567679616601,4.643567679616601,5.058605178895445,5.643567679616601,5.643567679616601,6.643466716204508,6.643567679616601,6.79010001393109,5.49665560916043,0.5089397722419061,0.5849625007211561,0.0,5.643567679616601,0.5478260869565217
all_exif_522,patient_group_median,EV100,0.0,normal,115,115,0,7,6.158440902041554,6.480340148509297,6.480340148509297,6.895377647788141,7.480340148509297,7.480340148509297,8.480239185097204,8.480340148509297,8.626872482823785,7.333428078053129,0.5089397722419056,0.5849625007211561,0.0,7.480340148509297,0.5478260869565217
all_exif_522,patient_group_median,relative_optical_exposure,0.0,normal,115,115,0,7,-8.626872482823785,-8.480340148509297,-8.480239185097204,-7.480340148509297,-7.480340148509297,-6.895377647788141,-6.480340148509297,-6.480340148509297,-6.158440902041554,-7.333428078053129,0.5089397722419056,0.5849625007211561,0.0,-7.480340148509297,0.5478260869565217
all_exif_522,patient_group_median,combined_exposure_gain,0.0,normal,115,115,0,100,-9.626872482823785,-9.274179209202334,-8.530638048028909,-7.223342158825791,-6.539233837562866,-5.797782602655216,-4.3136247035428745,-3.899321331124028,-2.6794690970086115,-6.504378706467865,1.2179704923981844,1.4255595561705752,0.7023194513593154,-7.124196338284022,0.02608695652173913
all_exif_522,patient_group_median,sensitivity_value,0.0,normal,115,115,0,92,4.0,4.206016705861115,4.553738666598234,5.356143810225276,5.815575428862573,6.2326476946978975,7.189033824390017,7.58444951227648,8.478971805032943,5.829049371585264,0.7814535503138974,0.8765038844726218,0.42931163026096186,5.356143810225276,0.02608695652173913
all_exif_522,patient_group_median,brightness_apex_pred,0.0,normal,115,115,0,100,-2.320530902991389,-1.100678668875972,-0.6863752964571246,0.797782602655217,1.5392338375628656,2.2233421588257913,3.5306380480289095,4.274179209202334,4.626872482823785,1.5043787064678642,1.2179704923981842,1.4255595561705743,0.7023194513593154,2.1241963382840217,0.02608695652173913
all_exif_522,patient_group_median,brightness_residual,0.0,normal,115,115,0,109,3.3977317566033403,3.6690666098324773,5.666012338019981,6.022709936172376,6.170157098574836,6.312306338313598,6.467872155273332,6.63950190049215,6.6552837612214235,6.076490858749527,0.5269052863393728,0.28959640214122206,0.14744716240246003,6.004622352211859,0.017391304347826087
all_exif_522,patient_group_median,device_centered_brightness,0.0,normal,115,115,0,46,-1.823529411764705,-1.4035294117647052,-1.0529411764705876,-0.32352941176470584,0.1764705882352939,0.5588235294117645,1.2705882352941162,1.8152941176470574,1.999999999999999,0.10639386189258285,0.7261409927451152,0.8823529411764703,0.4705882352941172,-0.11764705882352944,0.05217391304347826
all_exif_522,patient_group_median,ExposureTime,1.0,mild,244,244,0,33,0.0035714285714285713,0.004347826086956522,0.0067051282051282055,0.01,0.02,0.030006,0.04,0.040008,0.050009,0.020161113830205805,0.009802797337615571,0.020006000000000003,0.01,0.01,0.22540983606557377
all_exif_522,patient_group_median,FNumber,1.0,mild,244,244,0,5,1.89,1.89,1.89,1.89,1.9,1.9,1.9,2.0,2.0,1.9009221311475406,0.02132614852891583,0.010000000000000009,0.0,1.9,0.6147540983606558
