fold,target,metric_family,metric_name,condition,variance_retention_A,variance_retention_B,delta_variance_retention_B_minus_A,better_direction,stage2b_better,stage2a_better,tie
0,cheek_mean_log2_bg,variance,variance_retention,,0.91403482387718005,0.87426972084171217,-0.039765103035467875,neutral,0,0,0
1,cheek_mean_log2_bg,variance,variance_retention,,0.90551743723742428,0.88093555642569821,-0.024581880811726076,neutral,0,0,0
2,cheek_mean_log2_bg,variance,variance_retention,,1.023822980005868,0.96623833081819854,-0.057584649187669479,neutral,0,0,0
3,cheek_mean_log2_bg,variance,variance_retention,,0.95358395828586595,0.92784879300281908,-0.025735165283046868,neutral,0,0,0
4,cheek_mean_log2_bg,variance,variance_retention,,0.93220406201912986,0.97056740592383939,0.038363343904709524,neutral,0,0,0
0,cheek_mean_log2_rg,variance,variance_retention,,0.92928432238776604,0.95008705393197412,0.020802731544208086,neutral,0,0,0
1,cheek_mean_log2_rg,variance,variance_retention,,0.956028698749259,0.93786567220992534,-0.01816302653933366,neutral,0,0,0
2,cheek_mean_log2_rg,variance,variance_retention,,0.83454043707950931,0.82251168289897181,-0.012028754180537504,neutral,0,0,0
3,cheek_mean_log2_rg,variance,variance_retention,,0.85972570793482361,0.80792644571384187,-0.051799262220981745,neutral,0,0,0
4,cheek_mean_log2_rg,variance,variance_retention,,0.79576297967012477,0.78548091981393986,-0.010282059856184911,neutral,0,0,0
0,cheek_mean_log2_y,variance,variance_retention,,0.74092922790077842,0.70413985331892226,-0.03678937458185616,neutral,0,0,0
1,cheek_mean_log2_y,variance,variance_retention,,0.64838785023939882,0.63265617798198626,-0.015731672257412566,neutral,0,0,0
2,cheek_mean_log2_y,variance,variance_retention,,0.5189081846943765,0.50911444763748215,-0.0097937370568943471,neutral,0,0,0
3,cheek_mean_log2_y,variance,variance_retention,,0.56866443188121019,0.58534008831059503,0.016675656429384844,neutral,0,0,0
4,cheek_mean_log2_y,variance,variance_retention,,0.59637801292537762,0.5635195009944165,-0.032858511930961121,neutral,0,0,0
0,forehead_minus_cheek_log2_bg,variance,variance_retention,,0.88134931192850474,0.89269508663383135,0.011345774705326606,neutral,0,0,0
1,forehead_minus_cheek_log2_bg,variance,variance_retention,,0.89404864298847964,0.92523063192835364,0.031181988939874006,neutral,0,0,0
2,forehead_minus_cheek_log2_bg,variance,variance_retention,,0.96000928965029064,0.95383164548551358,-0.006177644164777063,neutral,0,0,0
3,forehead_minus_cheek_log2_bg,variance,variance_retention,,1.0100445817679427,1.0104821025610071,0.000437520793064472,neutral,0,0,0
4,forehead_minus_cheek_log2_bg,variance,variance_retention,,0.85757662957364611,0.84966477460727619,-0.0079118549663699245,neutral,0,0,0
0,forehead_minus_cheek_log2_rg,variance,variance_retention,,0.92284078495741384,0.93156251814828717,0.0087217331908733264,neutral,0,0,0
1,forehead_minus_cheek_log2_rg,variance,variance_retention,,0.94568303382615504,0.94513433297114346,-0.00054870085501157462,neutral,0,0,0
2,forehead_minus_cheek_log2_rg,variance,variance_retention,,0.90069124567986036,0.87027110244354622,-0.030420143236314146,neutral,0,0,0
3,forehead_minus_cheek_log2_rg,variance,variance_retention,,0.95429430031492457,0.97271629441559404,0.01842199410066947,neutral,0,0,0
4,forehead_minus_cheek_log2_rg,variance,variance_retention,,0.91304430947797421,0.91467605762777782,0.0016317481498036024,neutral,0,0,0
0,forehead_minus_cheek_log2_y,variance,variance_retention,,0.98700950610303895,0.97599690347136192,-0.011012602631677026,neutral,0,0,0
1,forehead_minus_cheek_log2_y,variance,variance_retention,,1.0184569591886308,1.0255060654350987,0.0070491062464679288,neutral,0,0,0
2,forehead_minus_cheek_log2_y,variance,variance_retention,,1.0367507076368259,1.0744199638827874,0.037669256245961513,neutral,0,0,0
3,forehead_minus_cheek_log2_y,variance,variance_retention,,1.0118331277715735,1.0487333365241649,0.036900208752591368,neutral,0,0,0
4,forehead_minus_cheek_log2_y,variance,variance_retention,,0.96783166425309453,0.96689630622752065,-0.0009353580255738736,neutral,0,0,0
